questionId,imageName,questionText,category,correctAnswer
1,q00001.jpeg,問1 膠原線維はどれか。,組織学,1
2,q00002.jpeg,問2 筋原線維はどれか。,組織学,2
3,q00003.jpeg,問3 髄鞘はどれか。,組織学,2
4,q00004.jpeg,問4 横突孔はどれか。,骨格系 - 脊柱,1
5,q00005.jpeg,問5 棘突起はどれか。,骨格系 - 脊柱,5
6,q00006.jpeg,問6 後縦靭帯はどれか。,骨格系 - 脊柱,5
7,q00007.jpeg,問7 脊柱管はどれか。,骨格系 - 脊柱,5
8,q00008.jpeg,問8 頬骨はどれか。,骨格系 - 頭蓋,3
9,q00009.jpeg,問9 側頭骨はどれか。,骨格系 - 頭蓋,2
10,q00010.jpeg,問10 胸骨体はどれか。,骨格系 - 胸郭,4
11,q00011.jpeg,問11 肩甲棘はどれか。,骨格系 - 上肢,2
12,q00012.jpeg,問12 烏口突起はどれか。,骨格系 - 上肢,5
13,q00013.jpeg,問13 上腕骨滑車はどれか。,骨格系 - 上肢,5
14,q00014.jpeg,問14 滑車切痕はどれか。,骨格系 - 上肢,2
15,q00015.jpeg,問15 肘頭窩はどれか。,骨格系 - 上肢,1
16,q00016.jpeg,問16 月状骨はどれか。,骨格系 - 上肢,3
17,q00017.jpeg,問17 坐骨はどれか。,骨格系 - 下肢,4
18,q00018.jpeg,問18 大転子はどれか。,骨格系 - 下肢,2
19,q00019.jpeg,問19 内側上顆はどれか。,骨格系 - 下肢,5
20,q00020.jpeg,問20 外側側副靭帯はどれか。,骨格系 - 下肢,2
21,q00021.jpeg,問21 距骨はどれか。,骨格系 - 下肢,3
22,q00022.jpeg,問22 舟状骨はどれか。,骨格系 - 下肢,2
23,q00023.jpeg,問23 肺動脈はどれか。,循環器系,3
24,q00024.jpeg,問24 右冠状動脈はどれか。,循環器系,1
25,q00025.jpeg,問25 腕頭動脈はどれか。,循環器系,2
26,q00026.jpeg,問26 総腸骨動脈はどれか。,循環器系,1
27,q00027.jpeg,問27 腹腔動脈はどれか。,循環器系,1
28,q00028.jpeg,問28 篩骨洞はどれか。,呼吸器系,4
29,q00029.jpeg,問29 下鼻甲介はどれか。,呼吸器系,2
30,q00030.jpeg,問30 咽頭はどれか。,呼吸器系,5
31,q00031.jpeg,問31 甲状軟骨はどれか。,呼吸器系,3
32,q00032.jpeg,問32 内肋間筋はどれか。,呼吸器系,2
33,q00033.jpeg,問33 右下葉はどれか。,呼吸器系,2
34,q00034.jpeg,問34 網嚢はどれか。,消化器系,4
35,q00035.jpeg,問35 胃底はどれか。,消化器系,5
36,q00036.jpeg,問36 空腸はどれか。,消化器系,4
37,q00037.jpeg,問37 S状結腸はどれか。,消化器系,4
38,q00038.jpeg,問38 脾臓はどれか。,リンパ系,5
39,q00039.jpeg,問39 尿管はどれか。,泌尿器系,2
40,q00040.jpeg,問40 尿道はどれか。,泌尿器系,2
41,q00041.jpeg,問41 腎錐体はどれか。,泌尿器系,4
42,q00042.jpeg,問42 近位尿細管はどれか。,泌尿器系,4
43,q00043.jpeg,問43 ボウマン嚢はどれか。,泌尿器系,1
44,q00044.jpeg,問44 肛門挙筋はどれか。,筋系 - 体幹,3
45,q00045.jpeg,問45 精嚢はどれか。,生殖器系,1
46,q00046.jpeg,問46 尿道海綿体はどれか。,生殖器系,2
47,q00047.jpeg,問47 精巣上体はどれか。,生殖器系,3
48,q00048.jpeg,問48 子宮円索はどれか。,生殖器系,1
49,q00049.jpeg,問49 子宮広間膜はどれか。,生殖器系,3
50,q00050.jpeg,問50 胞状卵胞はどれか。,生殖器系,5
51,q00051.jpeg,問51 体性感覚野はどれか。,神経系 - 脳,5
52,q00052.jpeg,問52 視床はどれか。,神経系 - 脳,4
53,q00053.jpeg,問53 橋はどれか。,神経系 - 脳,3
54,q00054.jpeg,問54 第三脳室はどれか。,神経系 - 脳,3
55,q00055.jpeg,問55 くも膜下腔はどれか。,神経系 - 脳,3
56,q00056.jpeg,問56 内頚動脈はどれか。,循環器系,2
57,q00057.jpeg,問57 前角はどれか。,神経系 - 脊髄,3
58,q00058.jpeg,問58 前根はどれか。,神経系 - 脊髄,4
59,q00059.jpeg,問59 尺骨神経はどれか。,神経系 - 末梢神経,5
60,q00060.jpeg,問60 外側大腿皮神経はどれか。,神経系 - 末梢神経,1
61,q00061.jpeg,問61 動眼神経はどれか。,神経系 - 脳神経,3
62,q00062.jpeg,問62 副神経はどれか。,神経系 - 脳神経,5
63,q00063.jpeg,問63 網膜はどれか。,感覚器系,4
64,q00064.jpeg,問64 上斜筋はどれか。,感覚器系,1
65,q00065.jpeg,問65 中耳はどれか。,感覚器系,3
66,q00066.jpeg,問66 アブミ骨はどれか。,感覚器系,3
67,q00067.jpeg,問67 前庭階はどれか。,感覚器系,1
68,q00068.jpeg,問68 広頸筋はどれか。,筋系 - 頭頸部,5
69,q00069.jpeg,問69 肩甲舌骨筋はどれか。,筋系 - 頭頸部,2
70,q00070.jpeg,問70 胸鎖乳突筋はどれか。,筋系 - 頭頸部,5
71,q00071.jpeg,問71 咬筋はどれか。,筋系 - 頭頸部,4
72,q00072.jpeg,問72 最長筋はどれか。,筋系 - 体幹,2
73,q00073.jpeg,問73 前鋸筋はどれか。,筋系 - 体幹,4
74,q00074.jpeg,問74 僧帽筋はどれか。,筋系 - 体幹,1
75,q00075.jpeg,問75 広背筋はどれか。,筋系 - 体幹,2
76,q00076.jpeg,問76 烏口腕筋はどれか。,筋系 - 上肢,2
77,q00077.jpeg,問77 三角筋はどれか。,筋系 - 上肢,1
78,q00078.jpeg,問78 大胸筋はどれか。,筋系 - 上肢,4
79,q00079.jpeg,問79 肩甲下筋はどれか。,筋系 - 上肢,4
80,q00080.jpeg,問80 上腕二頭筋はどれか。,筋系 - 上肢,1
81,q00081.jpeg,問81 上腕筋はどれか。,筋系 - 上肢,2
82,q00082.jpeg,問82 円回内筋はどれか。,筋系 - 上肢,1
83,q00083.jpeg,問83 撓側手根屈筋はどれか。,筋系 - 上肢,4
84,q00084.jpeg,問84 肘筋はどれか。,筋系 - 上肢,1
85,q00085.jpeg,問85 示指伸筋はどれか。,筋系 - 上肢,4
86,q00086.jpeg,問86 第3腓骨筋はどれか。,筋系 - 下肢,3
87,q00087.jpeg,問87 梨状筋はどれか。,筋系 - 下肢,1
88,q00088.jpeg,問88 内閉鎖筋はどれか。,筋系 - 下肢,3
89,q00089.jpeg,問89 縫工筋はどれか。,筋系 - 下肢,1
90,q00090.jpeg,問90 恥骨筋はどれか。,筋系 - 下肢,3
91,q00091.jpeg,問91 腸腰筋はどれか。,筋系 - 下肢,5
92,q00092.jpeg,問92 長内転筋はどれか。,筋系 - 下肢,3
93,q00093.jpeg,問93 薄筋はどれか。,筋系 - 下肢,5
94,q00094.jpeg,問94 前脛骨筋はどれか。,筋系 - 下肢,5
95,q00095.jpeg,問95 半腱様筋はどれか。,筋系 - 下肢,5
96,q00096.jpeg,問96 大腿二頭筋はどれか。,筋系 - 下肢,4
97,q00097.jpeg,問97 長指伸筋はどれか。,筋系 - 下肢,4
98,q00098.jpeg,問98 長母指屈筋はどれか。,筋系 - 下肢,4
99,q00099.jpeg,問99 短小指屈筋はどれか。,筋系 - 下肢,1
100,q00100.jpeg,問100 前脛骨筋はどれか。,筋系 - 下肢,3